date,chokepoint_id,n_total,weather_stress_score,risk_score_zscore,chokepoint_name,traffic_stress_score,norm_traffic_stress,norm_geopolitical_risk,norm_weather_stress,vulnerability_index,risk_category
2019-01-01,cp_bab_el_mandeb,50,0.3741219937801361,-0.7620008117311006,Bab el-Mandeb Strait,0.1777842959084696,0.3952458759714403,0.4402722666858398,0.3741219937801361,0.4046679480640888,Moderate
2019-01-02,cp_bab_el_mandeb,59,0.6065714955329895,-0.7620008117311006,Bab el-Mandeb Strait,-0.3579496314942851,0.33365518903257824,0.4402722666858398,0.6065714955329895,0.45284605816134316,Moderate
2019-01-03,cp_bab_el_mandeb,58,0.6028183102607727,-0.7620008117311006,Bab el-Mandeb Strait,-0.2984236395606457,0.34049859869245175,0.4402722666858398,0.6028183102607727,0.4541152959606338,Moderate
2019-01-04,cp_bab_el_mandeb,47,0.4060800671577453,-0.3800627199222542,Bab el-Mandeb Strait,0.3563622717093878,0.41577610495106093,0.4802648216329338,0.4060800671577453,0.4354383444517217,Moderate
2019-01-05,cp_bab_el_mandeb,74,0.350529283285141,-0.3800627199222542,Bab el-Mandeb Strait,-1.2508395104988763,0.2310040441344748,0.4802648216329338,0.350529283285141,0.35410288800413525,Moderate
2019-01-06,cp_bab_el_mandeb,51,0.3303229212760925,-0.3800627199222542,Bab el-Mandeb Strait,0.11825830397483017,0.3884024663115667,0.4802648216329338,0.3303229212760925,0.40313042716340286,Moderate
2019-01-07,cp_bab_el_mandeb,60,0.3993139564990997,0.10939575907647738,Bab el-Mandeb Strait,-0.4174756234279245,0.32681177937270467,0.5315157849054702,0.3993139564990997,0.4202088344470911,Moderate
2019-01-08,cp_bab_el_mandeb,50,0.3026799857616424,0.4913338508853237,Bab el-Mandeb Strait,0.1777842959084696,0.3952458759714403,0.5715083398525643,0.3026799857616424,0.4291679712668943,Moderate
2019-01-09,cp_bab_el_mandeb,48,0.2903232872486114,0.4913338508853237,Bab el-Mandeb Strait,0.2968362797757484,0.40893269529118736,0.5715083398525643,0.2903232872486114,0.4302513484748965,Moderate
2019-01-10,cp_bab_el_mandeb,40,0.2690543532371521,0.9802574025846033,Bab el-Mandeb Strait,0.7730442152448637,0.46367997257017585,0.6227032911433821,0.2690543532371521,0.4609504482708909,Moderate
2019-01-11,cp_bab_el_mandeb,56,0.3498233556747436,1.4081992421463359,Bab el-Mandeb Strait,-0.17937165569336688,0.3541854180121989,0.6675128765182773,0.3498233556747436,0.4625414097880897,Moderate
2019-01-12,cp_bab_el_mandeb,40,0.4416728913784027,1.4081992421463359,Bab el-Mandeb Strait,0.7730442152448637,0.46367997257017585,0.6675128765182773,0.4416728913784027,0.5284193645944794,High
2019-01-13,cp_bab_el_mandeb,48,0.6024788022041321,1.8971227938456154,Bab el-Mandeb Strait,0.2968362797757484,0.40893269529118736,0.7187078278090951,0.6024788022041321,0.5754178237463385,High
2019-01-14,cp_bab_el_mandeb,47,0.6286547183990479,1.6221701619272022,Bab el-Mandeb Strait,0.3563622717093878,0.41577610495106093,0.689917669205725,0.6286547183990479,0.5755892364745894,High
2019-01-15,cp_bab_el_mandeb,49,0.5980526208877563,1.2402320701183558,Bab el-Mandeb Strait,0.23731028784210897,0.40208928563131385,0.6499251142586309,0.5980526208877563,0.5476208262278075,High
2019-01-16,cp_bab_el_mandeb,64,0.4061442017555237,1.4542029898992221,Bab el-Mandeb Strait,-0.6555795911624821,0.29943814073321046,0.6723299069460785,0.4061442017555237,0.46196207721440824,Moderate
2019-01-17,cp_bab_el_mandeb,45,0.2986874580383301,1.0722648980903757,Bab el-Mandeb Strait,0.4754142555766666,0.42946292427080807,0.6323373519989846,0.2986874580383301,0.4612363341059264,Moderate
2019-01-18,cp_bab_el_mandeb,49,0.1029313653707504,0.6897918789820773,Bab el-Mandeb Strait,0.23731028784210897,0.40208928563131385,0.5922887850701719,0.1029313653707504,0.37891173435674513,Moderate
2019-01-19,cp_bab_el_mandeb,56,0.2428376972675323,0.6897918789820773,Bab el-Mandeb Strait,-0.17937165569336688,0.3541854180121989,0.5922887850701719,0.2428376972675323,0.40411728025908944,Moderate
2019-01-20,cp_bab_el_mandeb,53,0.3903296887874603,0.3078537871732309,Bab el-Mandeb Strait,-0.0007936798924486495,0.37471564699181953,0.5522962301230779,0.3903296887874603,0.4415530636264522,Moderate
2019-01-21,cp_bab_el_mandeb,40,0.4315139353275299,0.3078537871732309,Bab el-Mandeb Strait,0.7730442152448637,0.46367997257017585,0.5522962301230779,0.4315139353275299,0.48504585154089774,Moderate
2019-01-22,cp_bab_el_mandeb,49,0.4165866672992706,0.6897918789820773,Bab el-Mandeb Strait,0.23731028784210897,0.40208928563131385,0.5922887850701719,0.4165866672992706,0.4730083249353012,Moderate
2019-01-23,cp_bab_el_mandeb,48,0.5947983264923096,0.6897918789820773,Bab el-Mandeb Strait,0.2968362797757484,0.40893269529118736,0.5922887850701719,0.5947983264923096,0.5288670160741686,High
2019-01-24,cp_bab_el_mandeb,41,0.638900637626648,0.6897918789820773,Bab el-Mandeb Strait,0.7135182233112243,0.4568365629103023,0.5922887850701719,0.638900637626648,0.5588640630811603,High
2019-01-25,cp_bab_el_mandeb,31,0.6274592876434326,0.7967773388725103,Bab el-Mandeb Strait,1.3087781426476184,0.5252706595090378,0.6034911814138957,0.6274592876434326,0.5833044306160564,High
2019-01-26,cp_bab_el_mandeb,69,0.7646835446357727,0.7967773388725103,Bab el-Mandeb Strait,-0.9532095508306792,0.2652210924338427,0.6034911814138957,0.7646835446357727,0.5334543592374401,High
